Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Cyclone - Mackay,Queensland,Mackay,Cyclone,7/3/1955,7/3/1955,8,N/A
"Cyclone - Cyclone Grant, Katherine Floods, Train Derailment, Chemical Spill",Northern Territory,Katherine,Cyclone,25/12/2011,27/12/2011,N/A,2
Cyclone - The Great Gold coast cyclone Southern Queensland and Northern New South Wales,Queensland,"Brisbane , Lismore (QLD)",Cyclone,19/2/1954,22/2/1954,26,N/A
Cyclone - TC119 Coastal Queensland and New South Wales,"Queensland , New South Wales","Brisbane , Cairns , Sydney",Cyclone,16/1/1950,19/1/1950,7,N/A
Cyclone - Rockhampton,Queensland,"Bundaberg , Rockhampton",Cyclone,2/3/1949,3/3/1949,4,N/A
Cyclone - Cape York and Townsville,Queensland,"Cairns , Townsville",Cyclone,12/3/1934,13/3/1934,75,N/A
Cyclone - Innisfail ,Queensland,Cairns,Cyclone,10/3/1918,10/3/1918,37,N/A
Cyclone - Mackay ,Queensland,Mackay,Cyclone,20/1/1918,22/1/1918,30,N/A
Cyclone - Balla Balla,Western Australia,Port Hedland,Cyclone,20/3/1912,22/3/1912,173,N/A
"Cyclone - Broome, Lacepede Islands",Western Australia,"Broome, Lacepede Islands",Cyclone,25/3/1935,,142,1
Cyclone Broome,Western Australia,Broome,Cyclone,19/11/1910,19/11/1910,40,N/A
Cyclone - Cooktown,Queensland,Cooktown,Cyclone,19/1/1907,19/1/1907,9,N/A
Cyclone Leonta,Queensland,Townsville,Cyclone,9/3/1903,9/3/1903,10,N/A
Earthquake - Beachport and Robe,South Australia,Mount Gambier (SA),Earthquake,10/05/1897,10/05/1897,N/A,50
Earthquake - Japan,Offshore,"Antarctica , Christmas and Cocos Islands , Lord Howe and Norfolk Islands , Outside Territorial Waters , Territorial Waters",Earthquake,11/3/2011,11/3/2011,"15,467","5,388"
Earthquake - Christchurch - New Zealand,Offshore,Outside Territorial Waters,Earthquake,22/2/2011,22/2/2011,185,"6,659"
Earthquake - Sumatra,Offshore,Outside Territorial Waters,Earthquake,30/9/2009,30/9/2009,"1,117","1,214"
"Earthquake â€“ Hunter Valley, Ellalong and Cessnock",New South Wales,Sydney,Earthquake,6/8/1994,6/8/1994,N/A,N/A
Earthquake - Newcastle,New South Wales,Sydney,Earthquake,28/12/1989,29/12/1989,13,160
Earthquake - Tennant Creek,Northern Territory,Tennant Creek,Earthquake,22/1/1988,22/1/1988,N/A,N/A
Earthquake - Meckering and Region,Western Australia,Merredin,Earthquake,14/10/1968,14/10/1968,N/A,20
Earthquake - Victoria ,Victoria,Alpine National Park,Earthquake,22/9/2021,22/9/2021,N/A,N/A
Earthquake - Adelaide,South Australia,Adelaide,Earthquake,1/3/1954,1/3/1954,N/A,3
Environment Federation Drought,"New South Wales , South Australia , Western Australia , Northern Territory , Tasmania","Sydney , Adelaide , Perth , Darwin , Hobart",Environment,01/01/1895,1/1/1902,N/A,N/A
Environment- Bushfire pollution,New South Wales,Sydney,Environment,22/10/2013,2/11/2013,N/A,228
Environment - Drought,New South Wales,New South Wales,Environment,1/4/2012,31/1/2014,N/A,N/A
Environment - South-West WA Drought,Western Australia,Meekatharra,Environment,1/4/2000,22/8/2001,N/A,N/A
Environment - Central Wheatbelt Western Australia,Western Australia,Merredin,Environment,19/9/1998,23/9/1998,N/A,N/A
Environment - The big dry,National,National,Environment,1/1/1996,30/4/2012,N/A,N/A
Environment - Tasmania and Victoria Drought,"Tasmania , Victoria , South Australia","Cooma (VIC) , Ceduna , Hobart , Launceston , Melbourne",Environment,1/10/1996,30/9/2000,N/A,N/A
